384  0.251644  576  0.38002  768  0.381624  960  0.379473  
388  0.25284  582  0.379897  776  0.381279  970  0.379694  
392  0.253548  588  0.379597  784  0.38068  980  0.379518  
396  0.254454  594  0.379343  792  0.38051  990  0.378886  
400  0.255603  600  0.378959  800  0.380419  1000  0.378517  
404  0.256601  606  0.37916  808  0.379973  1010  0.37803  
408  0.257853  612  0.379282  816  0.379969  1020  0.378351  
412  0.2591  618  0.379587  824  0.380193  1030  0.378883  
416  0.260046  624  0.379894  832  0.37996  1040  0.378838  
420  0.261052  630  0.379801  840  0.380124  1050  0.378914  
424  0.262199  636  0.379378  848  0.380222  1060  0.379126  
428  0.263668  642  0.379058  856  0.380693  1070  0.379288  
432  0.265058  648  0.378833  864  0.381094  1080  0.379694  
436  0.266463  654  0.378613  872  0.381321  1090  0.379534  
440  0.267817  660  0.378421  880  0.381512  1100  0.379627  
444  0.269047  666  0.378095  888  0.381347  1110  0.379557  
448  0.270296  672  0.377494  896  0.381365  1120  0.379339  
452  0.271737  678  0.377175  904  0.381836  1130  0.379283  
456  0.273308  684  0.376897  912  0.381948  1140  0.379364  
460  0.274497  690  0.377061  920  0.381723  1150  0.379432  
464  0.275789  696  0.37692  928  0.381512  1160  0.379157  
468  0.277061  702  0.376681  936  0.38167  1170  0.378918  
472  0.278238  708  0.376749  944  0.381631  1180  0.379287  
476  0.279456  714  0.376998  952  0.381821  1190  0.379269  
480  0.281021  720  0.377291  960  0.382337  1200  0.37955  
484  0.28239  726  0.377666  968  0.382364  1210  0.380063  
488  0.283508  732  0.378081  976  0.382373  1220  0.380963  
492  0.28455  738  0.378705  984  0.382329  1230  0.381839  
496  0.285532  744  0.379456  992  0.382817  1240  0.38278  
500  0.286377  750  0.380051  1000  0.382997  1250  0.382909  
504  0.287248  756  0.380381  1008  0.382951  1260  0.383243  
508  0.288067  762  0.380897  1016  0.382523  1270  0.383564  
512  0.289052  768  0.381645  1024  0.382416  1280  0.384271  
516  0.28998  774  0.382169  1032  0.382828  1290  0.384522  
520  0.290852  780  0.382585  1040  0.383041  1300  0.384704  
524  0.291711  786  0.382995  1048  0.38267  1310  0.384903  
528  0.292667  792  0.383848  1056  0.38189  1320  0.384604  
532  0.293695  798  0.38466  1064  0.381207  1330  0.383995  
536  0.29468  804  0.385205  1072  0.380315  1340  0.383405  
540  0.295659  810  0.386131  1080  0.379544  1350  0.38339  
544  0.296418  816  0.387027  1088  0.378806  1360  0.383092  
548  0.297224  822  0.387901  1096  0.378295  1370  0.38275  
552  0.297971  828  0.388414  1104  0.377545  1380  0.382872  
556  0.298745  834  0.388867  1112  0.376994  1390  0.382865  
560  0.29946  840  0.389575  1120  0.376508  1400  0.38237  
564  0.30011  846  0.390508  1128  0.376115  1410  0.381805  
568  0.300574  852  0.391541  1136  0.375829  1420  0.381375  
572  0.301013  858  0.39233  1144  0.375717  1430  0.380996  
576  0.301386  864  0.393417  1152  0.37583  1440  0.3808  
580  0.301588  870  0.394177  1160  0.376588  1450  0.380853  
584  0.301899  876  0.394539  1168  0.37723  1460  0.381224  
588  0.302355  882  0.394679  1176  0.377565  1470  0.381129  
592  0.30271  888  0.394667  1184  0.37778  1480  0.380746  
596  0.303205  894  0.395009  1192  0.377866  1490  0.380544  
600  0.303602  900  0.395339  1200  0.377616  1500  0.380314  
604  0.303971  906  0.395694  1208  0.377509  1510  0.380321  
608  0.304249  912  0.396348  1216  0.37705  1520  0.380423  
612  0.304496  918  0.396858  1224  0.3768  1530  0.380468  
616  0.304921  924  0.39723  1232  0.376198  1540  0.380245  
620  0.305274  930  0.398001  1240  0.376083  1550  0.380156  
